image_filename,cell_number,cell_row,cell_col,label
01065b2b9792ca8683c83a7af2bab37f.jpg,0,0,0,0
01065b2b9792ca8683c83a7af2bab37f.jpg,1,0,1,0
01065b2b9792ca8683c83a7af2bab37f.jpg,2,0,2,0
01065b2b9792ca8683c83a7af2bab37f.jpg,3,0,3,0
01065b2b9792ca8683c83a7af2bab37f.jpg,4,0,4,0
01065b2b9792ca8683c83a7af2bab37f.jpg,5,0,5,0
01065b2b9792ca8683c83a7af2bab37f.jpg,6,0,6,0
01065b2b9792ca8683c83a7af2bab37f.jpg,7,0,7,0
01065b2b9792ca8683c83a7af2bab37f.jpg,8,1,0,3
01065b2b9792ca8683c83a7af2bab37f.jpg,9,1,1,3
01065b2b9792ca8683c83a7af2bab37f.jpg,10,1,2,0
01065b2b9792ca8683c83a7af2bab37f.jpg,11,1,3,0
01065b2b9792ca8683c83a7af2bab37f.jpg,12,1,4,0
01065b2b9792ca8683c83a7af2bab37f.jpg,13,1,5,0
01065b2b9792ca8683c83a7af2bab37f.jpg,14,1,6,0
01065b2b9792ca8683c83a7af2bab37f.jpg,15,1,7,0
01065b2b9792ca8683c83a7af2bab37f.jpg,16,2,0,3
01065b2b9792ca8683c83a7af2bab37f.jpg,17,2,1,3
01065b2b9792ca8683c83a7af2bab37f.jpg,18,2,2,0
01065b2b9792ca8683c83a7af2bab37f.jpg,19,2,3,0
01065b2b9792ca8683c83a7af2bab37f.jpg,20,2,4,0
01065b2b9792ca8683c83a7af2bab37f.jpg,21,2,5,0
01065b2b9792ca8683c83a7af2bab37f.jpg,22,2,6,0
01065b2b9792ca8683c83a7af2bab37f.jpg,23,2,7,0
01065b2b9792ca8683c83a7af2bab37f.jpg,24,3,0,3
01065b2b9792ca8683c83a7af2bab37f.jpg,25,3,1,3
01065b2b9792ca8683c83a7af2bab37f.jpg,26,3,2,1
01065b2b9792ca8683c83a7af2bab37f.jpg,27,3,3,0
01065b2b9792ca8683c83a7af2bab37f.jpg,28,3,4,0
01065b2b9792ca8683c83a7af2bab37f.jpg,29,3,5,0
01065b2b9792ca8683c83a7af2bab37f.jpg,30,3,6,0
01065b2b9792ca8683c83a7af2bab37f.jpg,31,3,7,0
01065b2b9792ca8683c83a7af2bab37f.jpg,32,4,0,3
01065b2b9792ca8683c83a7af2bab37f.jpg,33,4,1,3
01065b2b9792ca8683c83a7af2bab37f.jpg,34,4,2,1
01065b2b9792ca8683c83a7af2bab37f.jpg,35,4,3,0
01065b2b9792ca8683c83a7af2bab37f.jpg,36,4,4,0
01065b2b9792ca8683c83a7af2bab37f.jpg,37,4,5,0
01065b2b9792ca8683c83a7af2bab37f.jpg,38,4,6,0
01065b2b9792ca8683c83a7af2bab37f.jpg,39,4,7,0
01065b2b9792ca8683c83a7af2bab37f.jpg,40,5,0,3
